Term,Score
hand,0.21742998538156416
fire,0.21662234917135367
reached,0.21545379398125483
short,0.21210146671127375
green,0.20937928480622522
thus,0.20637933136289216
also,0.20637933136289216
body,0.20599252942504434
almost,0.2038702566704347
fresh,0.20340224438920515
scene,0.2025541613762165
together,0.20255416137621646
less,0.20124433403700753
come,0.20060246158903028
bad,0.20045482519847466
give,0.20045482519847466
bird,0.20045482519847466
take,0.19996897987111398
mine,0.19946981076078288
state,0.19909841804775583
returned,0.1987263307250855
different,0.19824243262915933
general,0.19766251466525425
close,0.1965091732361368
way,0.19638837389302566
snow,0.19582504145747104
woman,0.19491771010835415
sail,0.19418240772558895
sun,0.19320947007081893
north,0.19320947007081893
capt,0.1916151691563154
cause,0.19103493474819688
breeze,0.19001865645134783
latter,0.18996279364084398
scarcely,0.18996279364084395
work,0.18968726242172276
covered,0.18940643203483054
case,0.18791553211417478
plant,0.18749076118736663
low,0.18710858163681587
dark,0.18596411494316323
heavy,0.18587323043935158
perhaps,0.1853324542910471
heard,0.18533245429104706
cattle,0.18471785633354892
spot,0.18470975366711315
poor,0.18435038708125534
light,0.1841815557212161
look,0.1840957624287692
rio,0.1839178563898363
half,0.18303460920211828
gale,0.18281991363488015
scenery,0.18255679378769907
since,0.18239159848242567
life,0.1814324799521357
amongst,0.18113387819139276
find,0.18113387819139276
believe,0.18113387819139276
order,0.17991209772770764
dry,0.1796256153391144
air,0.17878910559767144
within,0.17878910559767142
officer,0.1759889844781919
chili,0.1759470343306406
four,0.17571322483403354
gaucho,0.17538563246596375
league,0.17485530143464786
chief,0.1744618355953854
others,0.17389077393746125
open,0.17389077393746125
full,0.17329787933708304
pleasant,0.17206434810797822
back,0.17206434810797822
thought,0.1720603612758383
formed,0.17189022742149687
crossed,0.17149097420133383
bed,0.17117621777964173
difficulty,0.17096072777881496
sky,0.1708323019219771
always,0.17022187528853028
brought,0.1702218752885302
return,0.1696023561147549
mind,0.1681846651689947
week,0.16780027060383151
appears,0.16775489158869647
ever,0.16775489158869647
