num_topics,coherence
5,0.3280283994503389
10,0.3235570048412316
15,0.33021909813801836
20,0.309126675170123
25,0.31665727029883717
30,0.30777509853199486
35,0.2909525730624103
40,0.3005659914234668
45,0.3054622910281128
50,0.30572097515565927
